playlist,added_at,artist_id,artist_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2TcrjcSngRPpgZxmIlPdym,Busta 929,7jeXFt3u9o8PveE4CHSOs0,Ngixolele,0.626,0.489,9,-11.141,0,0.0503,0.00164,0.65,0.0971,0.665,152.066,377625,5
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6fHE8xZBCxzwer9DIbOmv4,Boohle,7jeXFt3u9o8PveE4CHSOs0,Ngixolele,0.626,0.489,9,-11.141,0,0.0503,0.00164,0.65,0.0971,0.665,152.066,377625,5
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3PhoLpVuITZKcymswpck5b,Elton John,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-5,0.0915,0.934,116.032,202735,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-5,0.0915,0.934,116.032,202735,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6n28c9qs9hNGriNa72b26u,PNAU,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-5,0.0915,0.934,116.032,202735,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,18asYwWugKjjsihZ0YvRxO,The Motto,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-5,0.0901,0.464,117.953,164819,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,18asYwWugKjjsihZ0YvRxO,The Motto,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-5,0.0901,0.464,117.953,164819,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-5,0.366,0.537,126.011,230747,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1nVEvn7RMNxj27rn0WE13E,Mr JazziQ,2P22nuGMf26qeoX7P0oOuT,Halala (feat. Mellow & Sleazy),0.787,0.461,6,-10.682,0,0.0521,0.029,0.383,0.0493,0.292,112.007,498108,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,032XWTfikybkuikEsBqLRc,Kay Invictus,2P22nuGMf26qeoX7P0oOuT,Halala (feat. Mellow & Sleazy),0.787,0.461,6,-10.682,0,0.0521,0.029,0.383,0.0493,0.292,112.007,498108,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,7bbakrxOYa3yL8DDzjU98P,M.J,2P22nuGMf26qeoX7P0oOuT,Halala (feat. Mellow & Sleazy),0.787,0.461,6,-10.682,0,0.0521,0.029,0.383,0.0493,0.292,112.007,498108,4
