candidate,twitter_handle,date_tweet_created,tweet,rolling_mean_7_day
Ridwan Kamil,ridwankamil,2022-03-20,4,3.857142857142857
Ridwan Kamil,ridwankamil,2022-03-21,3,3.857142857142857
Ridwan Kamil,ridwankamil,2022-03-22,2,3.857142857142857
Ridwan Kamil,ridwankamil,2022-03-23,9,3.7142857142857144
Ridwan Kamil,ridwankamil,2022-03-24,3,3.5714285714285716
Ridwan Kamil,ridwankamil,2022-03-25,3,3.5714285714285716
Ridwan Kamil,ridwankamil,2022-03-26,5,4.142857142857143
Ridwan Kamil,ridwankamil,2022-03-27,1,3.7142857142857144
Ridwan Kamil,ridwankamil,2022-03-28,11,4.857142857142857
Ridwan Kamil,ridwankamil,2022-03-29,6,5.428571428571429
Ridwan Kamil,ridwankamil,2022-03-30,7,5.142857142857143
Ridwan Kamil,ridwankamil,2022-03-31,3,5.142857142857143
Ridwan Kamil,ridwankamil,2022-04-01,2,5
Ridwan Kamil,ridwankamil,2022-04-02,3,4.714285714285714
Ridwan Kamil,ridwankamil,2022-04-03,2,4.857142857142857
Ridwan Kamil,ridwankamil,2022-04-04,6,4.142857142857143
Ridwan Kamil,ridwankamil,2022-04-05,2,3.5714285714285716
Ridwan Kamil,ridwankamil,2022-04-06,6,3.4285714285714284
Ridwan Kamil,ridwankamil,2022-04-07,6,3.857142857142857
Ridwan Kamil,ridwankamil,2022-04-08,10,5
Ridwan Kamil,ridwankamil,2022-04-09,6,5.428571428571429
Ridwan Kamil,ridwankamil,2022-04-10,3,5.571428571428571
Ridwan Kamil,ridwankamil,2022-04-11,16,7
Ridwan Kamil,ridwankamil,2022-04-12,5,7.428571428571429
Ridwan Kamil,ridwankamil,2022-04-13,8,7.714285714285714
Ridwan Kamil,ridwankamil,2022-04-14,2,7.142857142857143
Ridwan Kamil,ridwankamil,2022-04-15,3,6.142857142857143
Ridwan Kamil,ridwankamil,2022-04-16,6,6.142857142857143
Ridwan Kamil,ridwankamil,2022-04-17,5,6.428571428571429
Ridwan Kamil,ridwankamil,2022-04-18,6,5
Ridwan Kamil,ridwankamil,2022-04-19,11,5.857142857142857
Ridwan Kamil,ridwankamil,2022-04-20,8,5.857142857142857
Ridwan Kamil,ridwankamil,2022-04-21,10,7
Ridwan Kamil,ridwankamil,2022-04-22,5,7.285714285714286
Ridwan Kamil,ridwankamil,2022-04-23,8,7.571428571428571
Ridwan Kamil,ridwankamil,2022-04-24,3,7.285714285714286
Ridwan Kamil,ridwankamil,2022-04-25,12,8.142857142857142
Ridwan Kamil,ridwankamil,2022-04-26,8,7.714285714285714
Ridwan Kamil,ridwankamil,2022-04-27,9,7.857142857142857
Ridwan Kamil,ridwankamil,2022-04-28,4,7
Ridwan Kamil,ridwankamil,2022-04-29,7,7.285714285714286
Ridwan Kamil,ridwankamil,2022-04-30,6,7
Ridwan Kamil,ridwankamil,2022-05-01,3,7
Ridwan Kamil,ridwankamil,2022-05-02,1,5.428571428571429
Ridwan Kamil,ridwankamil,2022-05-03,3,4.714285714285714
Ridwan Kamil,ridwankamil,2022-05-04,1,3.5714285714285716
Ridwan Kamil,ridwankamil,2022-05-05,3,3.4285714285714284
Ridwan Kamil,ridwankamil,2022-05-06,7,3.4285714285714284
Ridwan Kamil,ridwankamil,2022-05-07,4,3.142857142857143
Ridwan Kamil,ridwankamil,2022-05-08,1,2.857142857142857
Ridwan Kamil,ridwankamil,2022-05-09,9,4
Ridwan Kamil,ridwankamil,2022-05-10,5,4.285714285714286
Ridwan Kamil,ridwankamil,2022-05-11,7,5.142857142857143
